row_id,source_file,experiment_date,verdict,notes,measured_CP_voltage_V_stateA,measured_CP_voltage_V_stateB,measured_CP_voltage_V_stateC,measured_CuO_peak_cm-1,measured_CuO_peak_position_cm-1,measured_IACS_pct,measured_IP_rating,measured_N_content_at_pct,measured_S1_resistivity_ohm_m,measured_S2_resistivity_ohm_m,measured_S3_resistivity_ohm_m,measured_S4_resistivity_ohm_m,measured_S5_resistivity_ohm_m,measured_TCR_per_C,measured_aging_test,measured_ambient_temp_range_C,measured_ampacity_A_cm2,measured_cable_OD_max_mm,measured_cable_cross_section_mm2_control,measured_cable_cross_section_mm2_test,measured_cable_diameter_mm_control,measured_cable_diameter_mm_test,measured_cable_pull_force_N,measured_cable_weight_kg,measured_cable_weight_lbs_per_mft,measured_comparison_wire_diameter_um,measured_conductivity_change_pct_anneal,measured_conductivity_change_pct_graphene,measured_conductivity_improvement_pct,measured_connector_dimension_mm,measured_connector_weight_kg,measured_contact_resistance_target_uOhm,measured_coverage_pct,measured_cross_section_mm2_control,measured_cross_section_mm2_test,measured_cross_section_reduction_pct,measured_current_density_A_cm2_max,measured_delta_Tsk_C_control,measured_delta_Tsk_C_general_sheet,measured_delta_Tsk_C_graphene_sheet,measured_diameter_anneal_um,measured_diameter_bare_um,measured_diameter_change_pct,measured_diameter_graphene_um,measured_dielectric_test_V_LN_CP,measured_dielectric_test_V_LN_PE,measured_dielectric_test_Vac,measured_electrical_conductivity_S_m,measured_elongation_pct,measured_flexing_force_N,measured_ground_conductor_AWG,measured_high_voltage_test_VAC,measured_high_voltage_test_VDC,measured_humidity_test,measured_insertion_force_N,measured_insulation_material,measured_insulation_resistance_GOhm_L_N_CP_control,measured_insulation_resistance_GOhm_L_N_CP_test,measured_insulation_resistance_GOhm_L_N_PE,measured_insulation_resistance_MOhm,measured_insulation_resistance_improvement_pct,measured_insulation_resistance_range_MOhm,measured_insulation_thickness_power_mm,measured_intensity_change_pct,measured_jacket_material,measured_kelvin_resistance_range_Ohm,measured_min_Tsk_C_control,measured_min_Tsk_C_general_sheet,measured_min_Tsk_C_graphene_sheet,measured_note,measured_p_value,measured_power_conductor_AWG,measured_power_conductor_diameter_mm,measured_pull_force_N,measured_push_pull_force_lbs,measured_raman_D_peak_cm-1,measured_raman_G_peak_cm-1,measured_raman_I2D_IG,measured_raman_ID_IG,measured_raman_measurement_points,measured_raman_scan_range_cm-1,measured_rated_current_A,measured_rated_current_power_A,measured_rated_current_signal_A,measured_rated_voltage_Vdc,measured_rated_voltage_power_Vdc,measured_rated_voltage_signal_V,measured_reaction_time_min_variants,measured_resistance,measured_resistance_change_pct_anneal,measured_resistance_change_pct_graphene,measured_resistivity_change_pct,measured_resistivity_change_pct_50um,measured_resistivity_change_pct_80um,measured_resistivity_change_pct_unit,measured_resistivity_range_50um_asgrown_ohm_m,measured_resistivity_range_50um_bare_ohm_m,measured_resistivity_range_80um_ohm_m,measured_resistivity_ratio_pct,measured_resistivity_uOhm_cm_composite,measured_resistivity_uOhm_cm_pure_Cu,measured_sample_label,measured_signal_conductor_AWG,measured_signal_current_A,measured_signal_voltage_Vdc,measured_specific_conductivity_S_cm2_g,measured_specific_conductivity_S_cm_mg,measured_surface_temp_C_control_7kW,measured_surface_temp_C_test_7kW,measured_temp_C_cable_control,measured_temp_C_cable_test,measured_temp_C_connector_control,measured_temp_C_connector_test,measured_temp_C_internal_wiring_L_control,measured_temp_C_internal_wiring_L_test,measured_temp_C_internal_wiring_N_control,measured_temp_C_internal_wiring_N_test,measured_temp_diff_C,measured_temp_diff_C_10min,measured_temp_diff_C_1min,measured_temp_diff_C_2min,measured_temp_diff_C_3min,measured_temp_diff_C_4min,measured_temp_diff_C_5min,measured_temp_reduction_pct_cable,measured_temp_rise_C,measured_temp_rise_C_general_IR,measured_temp_rise_C_general_contact,measured_temp_rise_C_graphene_IR,measured_temp_rise_C_graphene_contact,measured_temp_rise_C_multi_general,measured_temp_rise_C_multi_graphene,measured_temp_rise_C_single_general,measured_temp_rise_C_single_graphene,measured_temp_rise_limit_C,measured_tensile_strength,measured_tensile_strength_MPa,measured_tensile_strength_ratio,measured_test_condition,measured_thermal_conductivity_Cu_W_mK,measured_thermal_conductivity_W_mK,measured_thermal_conductivity_graphene_W_mK,measured_thermal_conductivity_ratio_pct_of_Cu,measured_thermal_diffusivity_mm2_s,measured_thickness_bare_um,measured_thickness_change_pct,measured_thickness_graphene_um,measured_torque_Nm,measured_unit_note,measured_weight,measured_weight_reduction_pct,measured_youngs_modulus_GPa,process_anneal_condition,process_gas,process_gas_flow,process_gas_flow_set1,process_gas_flow_set2,process_gas_flow_set3,process_gas_flow_set4,process_gas_flow_set5,process_graphene_condition,process_material,process_note,process_other_conditions,process_precursor,process_pressure,process_product,process_reaction_time_min,process_size,process_standard,process_substrate,process_synthesis_method,process_temperature_C,process_test_condition,process_wire_spec
29,성능평가보고서_열사병응급키트_바이오그래핀(주)_2023.10.18.pdf,2023-10-18,Pass(GO시트가 CON보다 저온유지),원문 일부 표기 오타 추정(3.2->32 등),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.6,,3.2,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,냉각시트 - 폴리에스터100%+Graphene Oxide 코팅,,,,,,,"90cmx150cm(3매), 시트10x10cm",,,,,"핫플레이트 40C, 쿨스프레이+부채질",
30,성능평가보고서_열사병응급키트_바이오그래핀(주)_2023.10.18.pdf,2023-10-18,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.7,0.5,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,핫플레이트 50C,
31,성능평가보고서_열사병응급키트_바이오그래핀(주)_2023.10.18.pdf,2023-10-18,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,3.1,8.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,핫플레이트 60C,
32,성능평가보고서_열사병응급키트_바이오그래핀(주)_2023.10.18.pdf,2023-10-18,"Pass(그래핀 그룹 최대 냉각효과, 대조군대비 0.86~0.9C 추가냉각)","통계적유의차 확인. 아이스박스 대신 20C 물 사용, 쿨스프레이/부채 부수활동 미실시로 실사용시 더 우수할것으로 예상",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09+-0.17,0.90+-0.19,0.95+-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8+-0.0,36.5+-0.2,36.2+-0.4,,"<0.001 (delta_Tsk), <0.05 (min_Tsk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"운동 후 체온변화(런닝머신, 직장온도 38.5C 도달까지 운동)",
33,[콤보1타입] 충전케이블 REV-1C-150C-UL Test Report.pdf,,"Pass(전항목, IEC62196-1/-3 적합)","AWG/SQ 도체단면적, 온도상승 실측수치는 Attachment3(104p)에 별도, 본문에 미기재",,,,,,,IP44(결합)/IP24(미결합),,,,,,,,"80C 240h, 균열없음",,,,,,,,250,2.41,,,,,,,1.0,,,,,,,,,,,,,,,,1700,,,75,,,,"93% 32C 168h, 손상없음","[62.27, 84.52, 75.62]",,,,,>=5,,,,,,,,,,,,,,3.62,,,,,,,,150,,,600,,,,,,,,,,,,,,,,,,,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,REV-1C-150C EV connector,,,"IEC 62196-1/-3 (2014-06), UL LLC 시험",,,,,
34,[콤보1타입] 충전케이블 REV-1C-150C Datasheet.pdf,2016-04-18 (issue date),규격적합(UL/CSA/SAE/IEC),"Type EV 케이블, IP44/Type3R, 굴곡반경 케이블직경의 4배이상 권고",,,,,,,,,,,,,,,,-30 to +50,,32.0,,,,,,,1000,,,,,76x305x202,2.2,80,,,,,,,,,,,,,,,,,,,6,1000,2000,,,EPDM,,,,,,5-1000,2.03,,CPE,0.001-10,,,,,,2,7.67,,"CP/CS 30, Gnd 100, DC+/- 180",,,,,,,,150,2,,600,30,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 (150A 90min 통전시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REV-1C-150c (REMA SAE J1772 DC Level2 connector),,,"UL2251 Ed3(2013), UL62, SAE J1772(2013), IEC62196-1/3",,,,,
35,2025년 창업중심대학 최종보고서_(주)그래핀일렉트릭.pdf,2025,"Pass(양품, 결함 낮음)",D' peak 미관찰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<=0.1,5,1000-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH4,,,,,,,,,,,,,,,,,Cu foil catalyst,CVD,>=1000,,"0.08mm x ~1990 strand, 약 7SQ"
36,2025년 창업중심대학 최종보고서_(주)그래핀일렉트릭.pdf,2025,"Pass(목표달성도 100%, 시제품 개발완료)",실제 완제품 충전기 시험데이터 - 매우 신뢰도 높은 실측치. 온도22.2%감소/절연저항281%향상/경량화10.2% 종합성과,12.2,8.8,5.4,,,,,,,,,,,,,,,,24.4,21.9,5.6,5.3,,,,,,,,,,,,,,,,,,,,,,,2840,1420,,,,,,,,,,,249,950,950,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,21,26,28,28,26,28,26,,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,7kW 이동형 충전기 시제품,,,,,,,"220V 60Hz 32A 7kW 1시간, KC 61851-1:2022 기준, 주위온도 18C",
37,2021-11-18_ GSQ 그래핀 구리 전선.pptx,2021-11-18,계획단계(측정예정),정량적 전기전도도/저항/온도상승 데이터 없음. 열전도성 향상이 핵심 기대효과로 강조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 30, 60]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,5000,,,,,,,,,,,,"CH4, H2 (유량 미기재)",,,,,,,,,,,,,,,,,구리 부스바,CVD (저압),1000,,
38,2021-11-18_ GSQ 그래핀 구리 전선.pptx,2021-11-18,"합성완료, 연선제작 예정(결과미도출)",롤투롤 연속공정 필요성 제기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,"구리 단선, 3m x 10가닥 연선 예정",CVD (수정관 권취방식),,,
39,[제일테크노스] 연구개발계획서_최종_수정.pdf,,선행제품(7kW) 실측 참고자료 - 2025년 창업중심대학 보고서와 동일 데이터로 추정,1MW 목표를 위한 baseline 데이터로 인용됨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,21.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220V/32A,,,,,,,,,,,,,,,,,,,,,,,,"제안된 연구개발계획(2026-2030), 선행제품 실측 참고데이터",,,,,,,,,,,,
40,"am2c13686_si_001.pdf (ACS 논문 SI, 외부 벤치마크)",,외부벤치마크(양품),"그래핀-Cu 코어쉘 섬유, EP시간 증가에 따라 전도도/전류밀도/인장강도 모두 향상",,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,1.0E6 (500초 EP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1E6-1E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>=2.5x (상용Cu대비),,,,,,,,,,,,,,,,,,,,,,,,,,Cu EP 시간 0-500초 가변,,,,,,,"그래핀 약10층, PET기판 투과도75.39%",CVD(Ni촉매)+전기도금(Cu EP),,,
41,"cm7b01276_si_001.pdf (ACS 논문 SI, 외부 벤치마크)",,외부벤치마크(고성능),티올기반 표면개질(SH-CNTs/Cu@Cu)이 상용Cu대비 비강도/비전도도 최대화,,,,,,,,,,,,,,"[""1.36E-3"", ""2.06E-3""]",,,"[""0.68E5"", ""1.12E5""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""2.8E7"", ""4.0E7""]","[1.35, 1.66]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""6.4E4"", ""8.0E4""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[670, 1210]",,,,,,,,,,,,,,,"[151, 212]",,,,,,,,,,,,,,,,,,,CNT fiber core-shell Cu,CNT 표면처리(산처리/티올화)+Cu전기도금+열처리,,,
42,N-doped_graphene-based_copper_nanocomposite_with_u.pdf (외부 벤치마크),,"외부벤치마크(초저저항, 고열전도 동시달성)",강한 계면결합에 기인. GAIQ ML모델의 이론적 상한 벤치마크로 유용,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365,1590,,0.85,,,,,,,,,,,,,,,,,,,,7.6,0.16,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,138,161,,,,,,,,,,,,,,,,,,,,,실크 피브로인 7wt%,,,,,,"Cu 0.25mm(99.99%), 그래핀층 ~500nm","H2 plasma pretreat(600W,10Torr,H2 30sccm,5min) + N-doping plasma(800W,10Torr,N2 50sccm,10min)",,,
43,7. 위탁개발 완료 보고서 (시제품개발_구리동봉 그래핀코팅)_221128.pdf,2022-06-24,양품(품질기준으로 채택),"위탁개발 완료보고서(재첨부, 표+그래프 이미지 판독). T-CVD 1000℃ 조건이 그래핀 코팅 품질 기준(baseline)으로 설정됨. Raman 스펙트럼은 그래프 형상만 존재, 정량 D/G·2D/G 수치 텍스트 없음.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 10 sccm (전단계 공통), CH4 100 sccm (Growth 단계만 추가투입)",,,,,,,,,"4단계 공정: Heating(0-60min, H2 10sccm) → Annealing(60-90min, H2 10sccm) → Growth(90-120min, H2 10sccm+CH4 100sccm) → Cooling(120-300min, H2 10sccm). OM 배율 X200.",,Low pressure (수치 미기재),,300,,,구리(Cu) 선재,"T-CVD (Thermal CVD, batch)",1000,,
44,7. 위탁개발 완료 보고서 (시제품개발_구리동봉 그래핀코팅)_221128.pdf,2022-06-24,불량(구리선 단선 발생),R2R 연속공정에서 1000℃는 T-CVD와 동일 온도이나 장력+연속이동 조건에서 구리선이 끊어짐. 배치공정과 연속공정의 임계온도가 다름을 시사.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 30 sccm, CH4 300 sccm (Growth단계)",,,,,,,,,"Heating(0-15min,H2 30sccm)→Growth(15-55min,H2 30+CH4 300sccm, Roll Speed 200mm/min)→Cooling(55-165min,H2 30sccm)",,,,165,,,구리(Cu) 선재 (연속권취),"R2R CVD (Roll-to-Roll, 연속공정)",1000,,
45,7. 위탁개발 완료 보고서 (시제품개발_구리동봉 그래핀코팅)_221128.pdf,2022-06-24,"양품(단선없음, 그래핀합성 성공)",900℃에서 R2R 연속공정 단선 없이 그래핀 합성 성공. Raman 스펙트럼 확인(정량수치 미기재).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 30 sccm, CH4 300 sccm (Growth단계)",,,,,,,,,"Heating(0-15min,H2 30sccm)→Growth(15-55min,H2 30+CH4 300sccm, Roll Speed 200mm/min)→Cooling(55-165min,H2 30sccm). OM 배율 X200.",,,,165,,,구리(Cu) 선재 (연속권취),"R2R CVD (Roll-to-Roll, 연속공정)",900,,
46,7. 위탁개발 완료 보고서 (시제품개발_구리동봉 그래핀코팅)_221128.pdf,2022-06-24,"양품(단선없음, 그래핀합성 성공)",800℃에서도 R2R 연속공정 단선 없이 그래핀 합성 성공. 900℃/800℃ 모두 양품이나 물성(전도도개선 등) 정량비교 데이터는 없음 - 온도별 물성차이는 추가 실측 필요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H2 30 sccm, CH4 300 sccm (Growth단계)",,,,,,,,,"Heating(0-15min,H2 30sccm)→Growth(15-55min,H2 30+CH4 300sccm, Roll Speed 200mm/min)→Cooling(55-165min,H2 30sccm). OM 배율 X200.",,,,165,,,구리(Cu) 선재 (연속권취),"R2R CVD (Roll-to-Roll, 연속공정)",800,,
